COLE_COD_DANE_ESTABLECIMIENTO,COLE_NOMBRE_ESTABLECIMIENTO,COLE_GENERO,COLE_NATURALEZA,COLE_BILINGUE,COLE_CARACTER,COLE_AREA_UBICACION,COLE_JORNADA,COLE_COD_MCPIO_UBICACION
176834000351,INSTITUCION EDUCATIVA CORAZON DEL VALLE,MIXTO,OFICIAL,N,TÉCNICO/ACADÉMICO,URBANO,,76834
308001008352,INSTITUCION EDUCATIVA DISTRITAL GOLDA MEIR,MIXTO,OFICIAL,N,ACADÉMICO,,,8001
223555000102,INSTITUCION EDUCATIVA PLAZA BONITA,MIXTO,OFICIAL,N,ACADÉMICO,,,23555
123001001871,INSTITUCION EDUCATIVA JUAN XXIII,MIXTO,OFICIAL,N,ACADÉMICO,URBANO,NOCHE,23001
150001001860,COLEGIO DEPARTAMENTAL LA ESPERANZA,MIXTO,OFICIAL,N,TÉCNICO/ACADÉMICO,URBANO,NOCHE,50001
308001010136,LICEO LOS COMUNEROS,MIXTO,NO OFICIAL,N,ACADÉMICO,URBANO,NOCHE,8001
173349000026,INSTITUCION EDUCATIVA TECNICA ALFONSO PALACIO RUDAS,MIXTO,OFICIAL,N,TÉCNICO,URBANO,NOCHE,73349
105001000132,INST EDUC JOSE MARIA BERNAL,MIXTO,OFICIAL,,ACADÉMICO,URBANO,MAÑANA,5001
105001000001,INST EDUC JOSE MARIA VELAZ,MIXTO,OFICIAL,N,ACADÉMICO,URBANO,MAÑANA,5001
105001000001,INST EDUC JOSE MARIA VELAZ,MIXTO,OFICIAL,N,ACADÉMICO,URBANO,TARDE,5001
105001003425,INST EDUC JOSE MARIA BRAVO MARQUEZ,MIXTO,OFICIAL,N,ACADÉMICO,URBANO,TARDE,5001
105001000141,INST EDUC CAMILO TORRES RESTREPO,MIXTO,OFICIAL,N,ACADÉMICO,URBANO,MAÑANA,5001
105001019925,INST EDUC ALCALDIA DE MEDELLIN,MIXTO,OFICIAL,N,TÉCNICO/ACADÉMICO,URBANO,MAÑANA,5001
105001019925,INST EDUC ALCALDIA DE MEDELLIN,MIXTO,OFICIAL,N,TÉCNICO/ACADÉMICO,URBANO,TARDE,5001
105001000043,INST EDUC BARRIO SANTA CRUZ,MIXTO,OFICIAL,N,ACADÉMICO,URBANO,MAÑANA,5001
105001000043,INST EDUC BARRIO SANTA CRUZ,MIXTO,OFICIAL,N,ACADÉMICO,URBANO,TARDE,5001
105001000043,INST EDUC BARRIO SANTA CRUZ,MIXTO,OFICIAL,N,ACADÉMICO,URBANO,NOCHE,5001
105001001023,INST EDUC ANTONIO RICAURTE,MIXTO,OFICIAL,N,ACADÉMICO,URBANO,TARDE,5001
105001019330,INST EDUC BARRIO SANTA MARGARITA,MIXTO,OFICIAL,N,TÉCNICO/ACADÉMICO,URBANO,MAÑANA,5001
