COLE_COD_DANE_ESTABLECIMIENTO,COLE_NOMBRE_ESTABLECIMIENTO,COLE_GENERO,COLE_NATURALEZA,COLE_CARACTER,COLE_AREA_UBICACION,COLE_COD_MCPIO_UBICACION
176834000351,INSTITUCION EDUCATIVA CORAZON DEL VALLE,MIXTO,OFICIAL,TÉCNICO/ACADÉMICO,URBANO,76834
308001008352,INSTITUCION EDUCATIVA DISTRITAL GOLDA MEIR,MIXTO,OFICIAL,ACADÉMICO,,8001
223555000102,INSTITUCION EDUCATIVA PLAZA BONITA,MIXTO,OFICIAL,ACADÉMICO,,23555
123001001871,INSTITUCION EDUCATIVA JUAN XXIII,MIXTO,OFICIAL,ACADÉMICO,URBANO,23001
150001001860,COLEGIO DEPARTAMENTAL LA ESPERANZA,MIXTO,OFICIAL,TÉCNICO/ACADÉMICO,URBANO,50001
308001010136,LICEO LOS COMUNEROS,MIXTO,NO OFICIAL,ACADÉMICO,URBANO,8001
173349000026,INSTITUCION EDUCATIVA TECNICA ALFONSO PALACIO RUDAS,MIXTO,OFICIAL,TÉCNICO,URBANO,73349
105001000132,INST EDUC JOSE MARIA BERNAL,MIXTO,OFICIAL,ACADÉMICO,URBANO,5001
105001000001,INST EDUC JOSE MARIA VELAZ,MIXTO,OFICIAL,ACADÉMICO,URBANO,5001
105001003425,INST EDUC JOSE MARIA BRAVO MARQUEZ,MIXTO,OFICIAL,ACADÉMICO,URBANO,5001
105001000141,INST EDUC CAMILO TORRES RESTREPO,MIXTO,OFICIAL,ACADÉMICO,URBANO,5001
105001019925,INST EDUC ALCALDIA DE MEDELLIN,MIXTO,OFICIAL,TÉCNICO/ACADÉMICO,URBANO,5001
105001000043,INST EDUC BARRIO SANTA CRUZ,MIXTO,OFICIAL,ACADÉMICO,URBANO,5001
105001001023,INST EDUC ANTONIO RICAURTE,MIXTO,OFICIAL,ACADÉMICO,URBANO,5001
105001019330,INST EDUC BARRIO SANTA MARGARITA,MIXTO,OFICIAL,TÉCNICO/ACADÉMICO,URBANO,5001
105001010588,INST EDUC FE Y ALEGRIA LA CIMA,MIXTO,OFICIAL,TÉCNICO/ACADÉMICO,URBANO,5001
105001001252,INST EDUC CRISTOBAL COLON,MIXTO,OFICIAL,ACADÉMICO,URBANO,5001
105001023965,INST EDUC FINCA LA MESA,MIXTO,OFICIAL,ACADÉMICO,URBANO,5001
105001000981,INST EDUC GILBERTO ALZATE AVENDA?O,MIXTO,OFICIAL,TÉCNICO/ACADÉMICO,URBANO,5001
105001000493,INST EDUC RAMON GIRALDO CEBALLOS,MIXTO,OFICIAL,ACADÉMICO,URBANO,5001
105001011690,INST EDUC FEDERICO CARRASQUILLA,MIXTO,OFICIAL,TÉCNICO/ACADÉMICO,URBANO,5001
105001000167,COL LA PASTORA-EN ADMINISTRACION (AC),MIXTO,NO OFICIAL,TÉCNICO/ACADÉMICO,URBANO,5001
105001008249,INST EDUC BELLO HORIZONTE,MIXTO,OFICIAL,ACADÉMICO,URBANO,5001
105001000175,INST EDUC GABRIEL RESTREPO MORENO,MIXTO,OFICIAL,TÉCNICO/ACADÉMICO,URBANO,5001
105001014851,INST EDUC JESUS REY,MIXTO,OFICIAL,TÉCNICO/ACADÉMICO,URBANO,5001
305001015686,INST EDUC MAESTRO ARENAS BETANCUR,MIXTO,OFICIAL,ACADÉMICO,URBANO,5001
105001000205,INST EDUC SAN AGUSTIN,MIXTO,OFICIAL,ACADÉMICO,URBANO,5001
105001010448,INST EDUC LA ESPERANZA,MIXTO,OFICIAL,TÉCNICO/ACADÉMICO,URBANO,5001
105001002895,INST EDUC FRANCISCO ANTONIO ZEA,MIXTO,OFICIAL,ACADÉMICO,URBANO,5001
105001012165,INST EDUC GUADALUPE,MIXTO,OFICIAL,TÉCNICO/ACADÉMICO,URBANO,5001
105001000256,INST EDUC HECTOR ABAD GOMEZ,MIXTO,OFICIAL,TÉCNICO/ACADÉMICO,URBANO,5001
105001011631,INST EDUC ASAMBLEA DEPARTAMENTAL,MIXTO,OFICIAL,TÉCNICO/ACADÉMICO,URBANO,5001
105001013340,INST EDUC INEM JOSE FELIX DE RESTREPO,MIXTO,OFICIAL,TÉCNICO/ACADÉMICO,URBANO,5001
105001009709,INST EDUC FELIX HENAO BOTERO,MIXTO,OFICIAL,TÉCNICO/ACADÉMICO,URBANO,5001
105001001279,INST EDUC CIRO MENDIA,MIXTO,OFICIAL,ACADÉMICO,URBANO,5001
105001000353,INST EDUC JUAN DE LA CRUZ POSADA,MIXTO,OFICIAL,ACADÉMICO,URBANO,5001
105001000868,INST EDUC REPUBLICA DE VENEZUELA,MIXTO,OFICIAL,ACADÉMICO,URBANO,5001
105001019062,INST EDUC ALFONSO MORA NARANJO,MIXTO,OFICIAL,ACADÉMICO,URBANO,5001
