 Secretaría; Cód; Departamento; CódMun; Municipio; Código; Nombre;  Dirección; Teléfono; Nombre Rector; Tipo Establecimiento; Sector; Zona; Jornadas; Niveles; Grados;No. Sede; Cal; Correo Electrónico
ANTIOQUIA;5;ANTIOQUIA;5154;CAUCASIA;205154000977;I. E. CUTURU;CORREG CUTURU;8385130-8399315;HUGO ALBEIRO GARCIA QUIÑONES;INSTITUCION EDUCATIVA;OFICIAL;RURAL;MAÑANA,TARDE,FIN DE SEMANA;PREESCOLAR,MEDIA,BÁSICA SECUNDARIA,BÁSICA PRIMARIA;0,1,2,3,4,5,6,7,8,9,10,11,21,22,23,24,25,26,99;1;A;inercuturu@tareanet.edu.co
ANTIOQUIA;5;ANTIOQUIA;5579;PUERTO BERRÍO;105579000305;I. E. ANTONIO NARIÑO;CL 50 13 00;833 25 96;SALAZAR CARDONA HENRY ALBERTO ;INSTITUCION EDUCATIVA;OFICIAL;URBANA;MAÑANA,NOCTURNA,TARDE,FIN DE SEMANA;PREESCOLAR,MEDIA,BÁSICA SECUNDARIA,BÁSICA PRIMARIA;0,1,2,3,4,5,6,7,8,9,10,11,21,22,23,24,25,26,99;3;A;ieantonionarino@gmail.com  ieantonionarino@tareanet.edu.co
ANTIOQUIA;5;ANTIOQUIA;5129;CALDAS;105129000216;I. E. JOSE MARIA BERNAL;CL 127 S 54 51;2780041 y  2781005;PATIÑO ROVIDIO DE JESUS;INSTITUCION EDUCATIVA;OFICIAL;URBANA;MAÑANA,TARDE;PREESCOLAR,MEDIA,BÁSICA SECUNDARIA,BÁSICA PRIMARIA;0,1,2,3,4,5,6,7,8,9,10,11,99;4;A;caldasiejosemariabernal@tareanet.edu.co
ANTIOQUIA;5;ANTIOQUIA;5237;DONMATÍAS;205237000081;I. E. R. BENILDA VALENCIA;VDA. LAS ANIMAS;8514770;GARZON QUIROGA ALBERTO;INSTITUCION EDUCATIVA;OFICIAL;RURAL;COMPLETA;PREESCOLAR,MEDIA,BÁSICA SECUNDARIA,BÁSICA PRIMARIA;0,1,2,3,4,5,6,7,8,9,10,11;1;A;ierbenildavalenciaanimas@gmail.com 
ANTIOQUIA;5;ANTIOQUIA;5002;ABEJORRAL;205002000025;C. E. R. CALIFORNIA;VDA. LA PERDIDA;864 76 11;CASTRO QUINTERO MARIA FLORELBA;CENTRO EDUCATIVO;OFICIAL;;;;;0;A;
ANTIOQUIA;5;ANTIOQUIA;5847;URRAO;105847001204;I. E. MONSEÑOR J. IVAN CADAVID GUTIERREZ;CL 25 29 41;8502202;SERNA ESCOBAR MARIA EMMA;INSTITUCION EDUCATIVA;OFICIAL;RURAL,URBANA;MAÑANA,COMPLETA,NOCTURNA,TARDE,FIN DE SEMANA;PREESCOLAR,MEDIA,BÁSICA SECUNDARIA,BÁSICA PRIMARIA;0,1,2,3,4,5,6,7,8,9,10,11,21,22,23,24,25,26,99;3;A;iejivancadavidurrao@tareanet.edu.co
ANTIOQUIA;5;ANTIOQUIA;5154;CAUCASIA;205154001299;C. E. R. NO HAY COMO DIOS;VDA. TIGRE 3;839 22 07 y 3008012990;MARTINEZ ATEHORTUA JORGE ELIECER;CENTRO EDUCATIVO;OFICIAL;RURAL;COMPLETA;PREESCOLAR,BÁSICA PRIMARIA;0,1,2,3,4,5;7;A;cernohaycomodioscaucasia@tareanet.edu.co
ANTIOQUIA;5;ANTIOQUIA;5154;CAUCASIA;205154001591;C. E. R. LAS MALVINAS;VDA. LAS MALVINAS;830 86 70 y 3127357680;ARRIETA AGUIRRE LUZMILA DEL CARMEN;INSTITUCION EDUCATIVA;OFICIAL;RURAL;COMPLETA,NOCTURNA,TARDE,FIN DE SEMANA;PREESCOLAR,BÁSICA SECUNDARIA,BÁSICA PRIMARIA;0,1,2,3,4,5,6,7,8,9,21,22;4;A;ielasmalvinascaucasia@tareanet.edu.co
SABANETA;5;ANTIOQUIA;5631;SABANETA;105631000084;I. E. JOSE FELIX DE RESTREPO VELEZ;KR 46 B 76 S 17;288 00 89;CECILIA DE LA TRINIDAD JARAMILLO CARDONA;INSTITUCION EDUCATIVA;OFICIAL;URBANA;MAÑANA,TARDE;PREESCOLAR,MEDIA,BÁSICA SECUNDARIA,BÁSICA PRIMARIA;0,1,2,3,4,5,6,7,8,9,10,11,99;1;A;iejosefelix@sabaneta.gov.co
ANTIOQUIA;5;ANTIOQUIA;5306;GIRALDO;205306000099;I.E.R. SANTA ROSA DE LIMA;CL. 10  8-17;8571238;JHON FREDY CAMPO CAMPO;INSTITUCION EDUCATIVA;OFICIAL;RURAL;COMPLETA,FIN DE SEMANA;PREESCOLAR,MEDIA,BÁSICA SECUNDARIA,BÁSICA PRIMARIA;0,1,2,3,4,5,6,7,8,9,10,11,21,22,23,24,25,26;7;A;iersantarosadelima@hotmail.com
