COLE_DEPTO_UBICACION,COLE_MCPIO_UBICACION,COD_MCPIO
Cundinamarca,Bogotá,11001
Antioquia,Medellín,5001
Valle del Cauca,Santiago de Cali,76001
Atlántico,Barranquilla,8001
Bolívar,Cartagena de Indias,13001
Santander,Bucaramanga,68001
Norte de Santander,San José de Cúcuta,54001
Tolima,Ibagué,73001
Meta,Villavicencio,50001
Risaralda,Pereira,66001
Magdalena,COLE_MCPIO_UBICACION,47001
Cundinamarca,Soacha,25754
Antioquia,Bello,5088
Nariño,San Juan de Pasto,52001
Cesar,Valledupar,20001
Caldas,Manizales,17001
Atlántico,Soledad,8758
Córdoba,Montería,23001
Huila,Neiva,41001
Sucre,Sincelejo,70001
Valle del Cauca,Palmira,76520
Cauca,Popayán,19001
Quindío,Armenia ,63001
Antioquia,Itagüí,5360
Valle del Cauca,Buenaventura,76109
Santander,Barrancabermeja,68081
Santander,Floridablanca,68276
Antioquia,Envigado,5266
Valle del Cauca,Tuluá,76834
Boyacá,Tunja,15001
Cundinamarca,Chía,25175
Boyacá,Duitama,15238
Casanare,Yopal,85001
Cundinamarca,Fusagasugá,25290
Boyacá,Sogamoso,15759
La Guajira,Riohacha,44001
Antioquia,Rionegro ,5615
Risaralda,Dosquebradas,66170
Nariño,Tumaco,52835
Caquetá,Florencia ,18001
Santander,Piedecuesta,68547
Chocó,Quibdó,27001
Cundinamarca,Facatativá,25269
La Guajira,Maicao,44430
Cundinamarca,Zipaquirá,25899
Nariño,Ipiales,52356
Valle del Cauca,Guadalajara de Buga,76111
Cesar,Aguachica,20011
Valle del Cauca,Cartago,76147
Córdoba,Santa Cruz de Lorica,23417
Córdoba,Cereté,23162
Santander,Girón,68307
Huila,Pitalito,41551
Valle del Cauca,Yumbo,76892
Antioquia,Apartadó,5045
Antioquia,Turbo,5837
Bolívar,Magangue,13430
Cundinamarca,Funza,25286
Magdalena,Ciénaga,47189
Cundinamarca,Girardot,25307
Córdoba,San Bernardino de Sahagún,23660
Cundinamarca,Mosquera ,25473
Boyacá,Chiquinquirá,15176
Cauca,Santander de Quilichao,19698
Atlántico,Puerto Colombia ,8573
Atlántico,Sabanalarga ,8638
Santander,San Gil,68679
Córdoba,Montelíbano,23466
Norte de Santander,Ocaña,54498
Valle del Cauca,Jamundí,76364
Antioquia,Caucasia,5154
Tolima,Espinal,73268
Risaralda,Santa Rosa de Cabal,66682
Cundinamarca,Madrid,25430
Atlántico,Malambo,8433
Antioquia,Sabaneta,5631
Cesar,Agustín Codazzi,20013
Antioquia,Copacabana,5212
Sucre,Corozal,70215
Meta,Acacías,50006
Arauca,Arauca,81001
Bolívar,Turbaco,13836
Huila,Garzón,41298
Norte de Santander,Villa del Rosario,54874
Antioquia,Marinilla,5440
Córdoba,Planeta Rica,23555
Caldas,La Dorada,17380
Quindío,Calarcá,63130
Bolívar,El Carmen de Bolívar,13244
Bolívar,Arjona,13052
Cundinamarca,Cajicá,25126
Valle del Cauca,El Cerrito,76248
Meta,Granada (Met),50313
Cundinamarca,Sibaté,25740
