MUNI_ID¬MUNI_NOMBRE¬DEPA_NOMBRE¬PUNTAJE_PROMEDIO¬ERRORESTANDARPROMEDIO¬DESVIACION¬PORCENTAJE_INSUFICIENTE¬PORCENTAJE_MINIMO¬PORCENTAJE_SATISFACTORIO¬PORCENTAJE_AVANZADO¬N
05002¬Abejorral¬Antioquia¬320¬0,765¬57¬11¬35¬33¬21¬290
54003¬Abrego¬Norte De Santander¬316¬0,357¬55¬15¬35¬29¬22¬690
05004¬Abriaquí¬Antioquia¬308¬0¬51¬13¬44¬35¬9¬23
50006¬Acacías¬Meta¬324¬0,357¬55¬10¬34¬33¬24¬1366
27006¬Acandí¬Chocó¬272¬0,612¬48¬37¬45¬14¬4¬332
41006¬Acevedo¬Huila¬305¬0,459¬50¬15¬41¬32¬13¬724
13006¬Achí¬Bolívar¬295¬0,867¬47¬20¬45¬25¬10¬509
41013¬Agrado¬Huila¬289¬1,378¬51¬24¬45¬23¬8¬149
25001¬Agua de Dios¬Cundinamarca¬316¬1,071¬64¬14¬36¬30¬21¬166
20011¬Aguachica¬Cesar¬302¬0,306¬50¬20¬39¬26¬14¬1910
68013¬Aguada¬Santander¬297¬2,194¬60¬20¬50¬10¬20¬20
17013¬Aguadas¬Caldas¬343¬1,122¬54¬8¬26¬31¬35¬265
85010¬Aguazul¬Casanare¬307¬0,561¬53¬17¬39¬28¬16¬633
20013¬Agustín Codazzi¬Cesar¬308¬0,459¬56¬20¬36¬26¬18¬1245
41016¬Aipe¬Huila¬297¬0,918¬51¬23¬37¬31¬10¬276
18029¬Albania¬Caquetá¬310¬1,173¬53¬19¬38¬30¬13¬86
44035¬Albania¬La Guajira¬293¬0,714¬52¬27¬40¬22¬12¬512
68020¬Albania¬Santander¬298¬1,531¬47¬17¬46¬28¬9¬46
25019¬Albán¬Cundinamarca¬305¬1,276¬47¬11¬47¬30¬12¬81
52019¬Albán¬Nariño¬336¬0,918¬47¬9¬25¬37¬29¬92
76020¬Alcalá¬Valle Del Cauca¬284¬2,296¬55¬28¬46¬18¬8¬140
52022¬Aldana¬Nariño¬298¬0,765¬37¬18¬49¬21¬11¬126
05021¬Alejandría¬Antioquia¬331¬2,194¬49¬4¬30¬41¬25¬56
47030¬Algarrobo¬Magdalena¬309¬0,969¬56¬14¬39¬31¬15¬341
41020¬Algeciras¬Huila¬300¬1,02¬52¬20¬38¬30¬11¬394
19022¬Almaguer¬Cauca¬343¬0,867¬58¬10¬24¬30¬36¬225
15022¬Almeida¬Boyacá¬334¬2,653¬61¬17¬11¬50¬22¬18
73024¬Alpujarra¬Tolima¬315¬2,041¬55¬14¬34¬39¬14¬59
41026¬Altamira¬Huila¬301¬1,582¬44¬10¬50¬30¬10¬70
27025¬Alto Baudó¬Chocó¬273¬0,714¬43¬36¬44¬13¬6¬465
13030¬Altos del Rosario¬Bolívar¬259¬0,714¬33¬45¬49¬6¬0¬251
73026¬Alvarado¬Tolima¬326¬1,276¬51¬9¬34¬38¬20¬130
05030¬Amagá¬Antioquia¬311¬0,867¬51¬16¬37¬30¬18¬308
05031¬Amalfi¬Antioquia¬302¬0,918¬52¬16¬43¬28¬13¬403
73030¬Ambalema¬Tolima¬298¬1,939¬47¬19¬45¬25¬11¬80
25035¬Anapoima¬Cundinamarca¬310¬0,561¬51¬17¬37¬27¬20¬230
52036¬Ancuyá¬Nariño¬300¬0,969¬38¬13¬49¬31¬6¬67
76036¬Andalucía¬Valle Del Cauca¬297¬1,071¬46¬20¬45¬24¬11¬213
05034¬Andes¬Antioquia¬299¬0,612¬52¬18¬40¬31¬11¬663
05036¬Angelópolis¬Antioquia¬302¬0,918¬51¬16¬43¬32¬9¬100
05038¬Angostura¬Antioquia¬303¬1,173¬51¬19¬40¬28¬14¬153
25040¬Anolaima¬Cundinamarca¬321¬0,867¬54¬11¬34¬33¬22¬216
05040¬Anorí¬Antioquia¬311¬1,224¬61¬17¬37¬26¬20¬328
17042¬Anserma¬Caldas¬322¬0,714¬56¬11¬36¬30¬23¬415
76041¬Ansermanuevo¬Valle Del Cauca¬297¬1,378¬52¬22¬41¬24¬13¬198
05044¬Anza¬Antioquia¬326¬1,684¬50¬5¬36¬39¬21¬88
25394¬La Palma¬Cundinamarca¬306¬1,224¬57¬24¬30¬30¬16¬129
20621¬La Paz¬Cesar¬314¬0,663¬56¬15¬36¬31¬19¬569
68397¬La Paz¬Santander¬300¬1,939¬46¬17¬47¬23¬13¬53
25398¬La Peña¬Cundinamarca¬290¬1,684¬53¬31¬37¬26¬7¬62
05390¬La Pintada¬Antioquia¬298¬0,969¬50¬22¬37¬32¬9¬121
41396¬La Plata¬Huila¬307¬0,357¬52¬15¬40¬32¬14¬1143
54398¬La Playa¬Norte De Santander¬332¬1,429¬62¬10¬32¬28¬30¬163
19392¬La Sierra¬Cauca¬337¬0,816¬54¬6¬25¬38¬32¬145
63401¬La Tebaida¬Quindio¬297¬0,612¬44¬19¬45¬28¬9¬397
52390¬La Tola¬Nariño¬277¬1,684¬39¬36¬42¬19¬3¬149
05400¬La Unión¬Antioquia¬311¬0,816¬51¬13¬38¬35¬14¬341
52399¬La Unión¬Nariño¬322¬0,459¬49¬12¬32¬34¬23¬430
70400¬La Unión¬Sucre¬293¬1,122¬48¬21¬41¬32¬7¬257
76400¬La Unión¬Valle Del Cauca¬329¬1,122¬56¬10¬28¬36¬27¬398
15403¬La Uvita¬Boyacá¬325¬2,143¬63¬16¬25¬29¬31¬49
19397¬La Vega¬Cauca¬318¬1,071¬59¬14¬36¬25¬24¬222
25402¬La Vega¬Cundinamarca¬322¬0,816¬55¬12¬30¬39¬19¬243
15401¬La Victoria¬Boyacá¬312¬7,092¬62¬22¬22¬35¬22¬23
76403¬La Victoria¬Valle Del Cauca¬318¬0,867¬52¬11¬38¬34¬17¬142
66400¬La Virginia¬Risaralda¬296¬0,765¬52¬21¬41¬28¬10¬408
54377¬Labateca¬Norte De Santander¬323¬0¬59¬14¬30¬32¬24¬79
15377¬Labranzagrande¬Boyacá¬279¬2,755¬41¬22¬58¬17¬3¬36
68385¬Landázuri¬Santander¬293¬0,459¬45¬22¬43¬27¬8¬207
68406¬Lebrija¬Santander¬308¬0,612¬55¬16¬40¬28¬16¬670
86573¬Leguízamo¬Putumayo¬293¬0,816¬47¬23¬43¬25¬9¬522
52405¬Leiva¬Nariño¬309¬0,459¬40¬13¬40¬30¬17¬149
50400¬Lejanías¬Meta¬307¬0,714¬48¬12¬40¬36¬12¬154
25407¬Lenguazaque¬Cundinamarca¬298¬0,51¬47¬17¬45¬32¬6¬219
91001¬Leticia¬Amazonas¬273¬0,459¬46¬37¬44¬13¬6¬1176
05411¬Liborina¬Antioquia¬301¬1,633¬55¬21¬34¬31¬13¬172
52411¬Linares¬Nariño¬304¬0,867¬40¬11¬48¬32¬9¬117
27413¬Lloró¬Chocó¬271¬1,122¬45¬38¬43¬15¬5¬291
23417¬Lorica¬Córdoba¬307¬0,408¬52¬19¬37¬27¬17¬1967
52418¬Los Andes¬Nariño¬328¬3,724¬43¬10¬26¬40¬25¬101
23419¬Los Córdobas¬Córdoba¬297¬0,918¬48¬19¬43¬29¬9¬314
70418¬Los Palmitos¬Sucre¬289¬0,51¬48¬31¬38¬19¬13¬427
54405¬Los Patios¬Norte De Santander¬314¬0,357¬52¬16¬37¬28¬20¬1191
68418¬Los Santos¬Santander¬294¬0,918¬50¬18¬47¬26¬9¬209
