MUNI_ID¬MUNI_NOMBRE¬DEPA_NOMBRE¬PUNTAJE_PROMEDIO¬ERRORESTANDARPROMEDIO¬DESVIACION¬PORCENTAJE_INSUFICIENTE¬PORCENTAJE_MINIMO¬PORCENTAJE_SATISFACTORIO¬PORCENTAJE_AVANZADO¬N
05002¬Abejorral¬Antioquia¬309¬0,612¬53¬13¬65¬19¬3¬188
54003¬Abrego¬Norte De Santander¬307¬0,663¬53¬18¬56¬21¬5¬279
05004¬Abriaquí¬Antioquia¬294¬1,582¬46¬14¬71¬14¬0¬28
50006¬Acacías¬Meta¬312¬0,459¬60¬17¬54¬23¬5¬1081
27006¬Acandí¬Chocó¬296¬1,173¬52¬21¬62¬14¬4¬141
41006¬Acevedo¬Huila¬300¬0,765¬53¬20¬60¬18¬2¬369
13006¬Achí¬Bolívar¬281¬0,714¬45¬31¬58¬10¬1¬323
41013¬Agrado¬Huila¬297¬0,969¬53¬20¬62¬18¬1¬138
25001¬Agua de Dios¬Cundinamarca¬296¬0,459¬64¬26¬57¬13¬4¬139
20011¬Aguachica¬Cesar¬296¬0,408¬55¬25¬56¬16¬4¬1221
68013¬Aguada¬Santander¬314¬5,357¬68¬24¬47¬18¬12¬17
17013¬Aguadas¬Caldas¬311¬1,276¬53¬17¬55¬25¬4¬216
85010¬Aguazul¬Casanare¬317¬0,51¬58¬14¬56¬23¬7¬578
20013¬Agustín Codazzi¬Cesar¬297¬0,51¬55¬25¬54¬17¬4¬796
41016¬Aipe¬Huila¬275¬0,867¬52¬35¬56¬8¬1¬261
18029¬Albania¬Caquetá¬289¬1,173¬51¬18¬67¬11¬4¬76
44035¬Albania¬La Guajira¬275¬0,663¬54¬38¬52¬8¬3¬400
68020¬Albania¬Santander¬305¬1,786¬56¬19¬52¬21¬7¬42
25019¬Albán¬Cundinamarca¬306¬1,888¬64¬35¬31¬31¬4¬49
52019¬Albán¬Nariño¬312¬1,531¬58¬14¬60¬20¬6¬115
76020¬Alcalá¬Valle Del Cauca¬281¬2,857¬57¬32¬54¬12¬2¬124
52022¬Aldana¬Nariño¬306¬0,51¬53¬15¬61¬23¬2¬124
05021¬Alejandría¬Antioquia¬330¬2,755¬53¬8¬54¬35¬4¬26
47030¬Algarrobo¬Magdalena¬256¬0,918¬40¬50¬47¬4¬0¬230
41020¬Algeciras¬Huila¬299¬0,969¬54¬21¬59¬18¬2¬294
19022¬Almaguer¬Cauca¬283¬1,122¬51¬32¬57¬10¬1¬232
15022¬Almeida¬Boyacá¬293¬0¬63¬33¬50¬8¬8¬24
73024¬Alpujarra¬Tolima¬309¬1,939¬48¬11¬63¬26¬0¬62
41026¬Altamira¬Huila¬340¬0¬66¬5¬52¬32¬11¬44
27025¬Alto Baudó¬Chocó¬244¬2,551¬35¬59¬40¬1¬0¬87
13030¬Altos del Rosario¬Bolívar¬261¬1,939¬44¬46¬50¬4¬0¬116
